Age,City,Education,Job_Role,Monthly_Salary,
24,Hyderabad,MBA,Web Developer,40000,
24,Kolkata,B.E.,Technical Support Engineer,18000,
21,Jaipur,MCA,Web Developer,28000,
21,Kolkata,MCA,Project Coordinator,22000,
35,Delhi,MBA,Software Engineer,89000,
31,Pune,BCA,Web Developer,61000,
23,Pune,B.E.,UI UX Designer,34000,
29,Mumbai,M.Sc,Project Coordinator,68000,
23,Pune,MBA,Technical Support Engineer,31000,
27,Chennai,B.Tech,Web Developer,54000,
28,Ahmedabad,B.Sc,QA Engineer,55000,
26,Chennai,M.Tech,Web Developer,42000,
26,Ahmedabad,MCA,Business Analyst,34000,
29,Bangalore,MCA,UI UX Designer,52000,
22,Mumbai,B.Sc,QA Engineer,25000,
31,Ahmedabad,M.Sc,DevOps Engineer,70000,
29,Jaipur,MCA,Project Coordinator,55000,
34,Hyderabad,B.Sc,UI UX Designer,66000,
37,Mumbai,B.E.,Software Engineer,102000,
26,Kolkata,B.E.,DevOps Engineer,45000,
35,Bangalore,MBA,Project Coordinator,79000,
38,Chennai,M.Tech,Data Analyst,111000,
26,Jaipur,B.Tech,QA Engineer,31000,
37,Lucknow,MBA,Project Coordinator,93000,
25,Jaipur,BCA,Project Coordinator,23000,
31,Pune,B.Tech,Data Analyst,68000,
28,Mumbai,MCA,Technical Support Engineer,58000,
36,Ahmedabad,BCA,Business Analyst,101000,
26,Jaipur,B.Sc,Web Developer,32000,
30,Jaipur,M.Tech,Data Scientist,66000,
24,Pune,MCA,Data Analyst,36000,
38,Mumbai,MCA,Software Engineer,109000,
28,Mumbai,B.Tech,UI UX Designer,70000,
28,Jaipur,M.Sc,Web Developer,43000,
36,Hyderabad,M.Sc,DevOps Engineer,98000,
24,Kolkata,M.Tech,DevOps Engineer,36000,
22,Pune,B.Tech,DevOps Engineer,38000,
28,Ahmedabad,MCA,Project Coordinator,50000,
34,Hyderabad,MBA,Data Scientist,93000,
35,Jaipur,B.E.,Software Engineer,74000,
23,Ahmedabad,BCA,DevOps Engineer,35000,
27,Kolkata,B.Tech,Business Analyst,37000,
33,Kolkata,M.Sc,QA Engineer,76000,
36,Hyderabad,MCA,QA Engineer,93000,
38,Bangalore,M.Tech,Software Engineer,123000,
36,Jaipur,BCA,Software Engineer,76000,
26,Kolkata,B.E.,Web Developer,46000,
28,Mumbai,B.Tech,Technical Support Engineer,47000,
37,Pune,MBA,Web Developer,98000,
29,Ahmedabad,BCA,QA Engineer,47000,
23,Lucknow,M.Sc,Technical Support Engineer,24000,
23,Chennai,MCA,Project Coordinator,24000,
32,Chennai,MCA,UI UX Designer,79000,
35,Jaipur,MBA,Technical Support Engineer,66000,
38,Chennai,B.E.,Business Analyst,102000,
24,Chennai,BCA,QA Engineer,29000,
27,Jaipur,MCA,QA Engineer,45000,
29,Chennai,B.E.,DevOps Engineer,69000,
21,Delhi,BCA,QA Engineer,28000,
38,Mumbai,B.Tech,Data Analyst,104000,
38,Jaipur,M.Tech,Technical Support Engineer,94000,
34,Pune,B.Tech,QA Engineer,84000,
32,Pune,MCA,Data Analyst,84000,
34,Delhi,BCA,Web Developer,70000,
34,Kolkata,BCA,UI UX Designer,84000,
29,Bangalore,B.E.,DevOps Engineer,78000,
28,Chennai,M.Sc,UI UX Designer,53000,
28,Pune,MCA,DevOps Engineer,68000,
23,Kolkata,M.Tech,Project Coordinator,30000,
31,Delhi,B.E.,QA Engineer,83000,
29,Kolkata,B.E.,Technical Support Engineer,61000,
31,Lucknow,B.E.,DevOps Engineer,60000,
29,Jaipur,B.Sc,Software Engineer,65000,
27,Pune,B.Sc,Data Analyst,46000,
24,Pune,MBA,DevOps Engineer,42000,
30,Kolkata,BCA,Web Developer,48000,
26,Jaipur,MBA,DevOps Engineer,29000,
30,Lucknow,MCA,DevOps Engineer,66000,
31,Hyderabad,M.Sc,Data Scientist,73000,
36,Jaipur,B.E.,QA Engineer,92000,
23,Hyderabad,MBA,Web Developer,32000,
21,Lucknow,MCA,Data Scientist,25000,
35,Ahmedabad,MCA,DevOps Engineer,87000,
28,Kolkata,B.Tech,Data Analyst,56000,
26,Jaipur,M.Sc,Software Engineer,30000,
24,Jaipur,BCA,Data Scientist,31000,
31,Ahmedabad,B.Sc,Project Coordinator,53000,
36,Chennai,MBA,Web Developer,92000,
36,Mumbai,MBA,Data Scientist,112000,
28,Jaipur,M.Tech,UI UX Designer,46000,
25,Delhi,MCA,DevOps Engineer,49000,
23,Jaipur,B.Sc,UI UX Designer,22000,
34,Kolkata,MCA,DevOps Engineer,98000,
21,Bangalore,B.Sc,Data Scientist,37000,
30,Jaipur,B.Sc,Project Coordinator,53000,
28,Kolkata,MCA,QA Engineer,47000,
21,Delhi,M.Tech,DevOps Engineer,44000,
25,Lucknow,B.Tech,DevOps Engineer,32000,
21,Ahmedabad,B.Sc,Business Analyst,21000,
22,Hyderabad,B.Sc,UI UX Designer,26000,
