City,Area_Type,Marriage_Cost_Current,Car_Cost_Current,Home_Cost_Current
Bangalore,Central,890000,1260000,9400000
Bangalore,North,830000,1180000,8800000
Bangalore,South,850000,1200000,9000000
Bangalore,East,820000,1150000,8600000
Bangalore,West,870000,1220000,9200000
Bangalore,Outer,750000,1060000,7900000
Bangalore,Suburban,780000,1100000,8300000
Bangalore,IT Corridor,900000,1270000,9500000
Bangalore,Premium,950000,1340000,10100000
Bangalore,Developing,710000,1010000,7600000
Mumbai,Central,1000000,1420000,12600000
Mumbai,North,930000,1320000,11800000
Mumbai,South,950000,1350000,12000000
Mumbai,East,910000,1300000,11500000
Mumbai,West,970000,1380000,12200000
Mumbai,Outer,840000,1190000,10600000
Mumbai,Suburban,870000,1240000,11000000
Mumbai,IT Corridor,1010000,1430000,12700000
Mumbai,Premium,1060000,1510000,13400000
Mumbai,Developing,800000,1130000,10100000
Delhi,Central,840000,1210000,8900000
Delhi,North,780000,1130000,8300000
Delhi,South,800000,1150000,8500000
Delhi,East,770000,1100000,8200000
Delhi,West,820000,1170000,8700000
Delhi,Outer,700000,1010000,7500000
Delhi,Suburban,740000,1060000,7800000
Delhi,IT Corridor,850000,1220000,9000000
Delhi,Premium,900000,1290000,9500000
Delhi,Developing,670000,970000,7100000
Hyderabad,Central,740000,1100000,6800000
Hyderabad,North,690000,1030000,6400000
Hyderabad,South,700000,1050000,6500000
Hyderabad,East,670000,1010000,6200000
Hyderabad,West,710000,1070000,6600000
Hyderabad,Outer,620000,920000,5700000
Hyderabad,Suburban,640000,970000,6000000
Hyderabad,IT Corridor,740000,1110000,6900000
Hyderabad,Premium,780000,1180000,7300000
Hyderabad,Developing,590000,880000,5500000
Chennai,Central,740000,1050000,6800000
Chennai,North,690000,980000,6400000
Chennai,South,700000,1000000,6500000
Chennai,East,670000,960000,6200000
Chennai,West,710000,1020000,6600000
Chennai,Outer,620000,880000,5700000
Chennai,Suburban,640000,920000,6000000
Chennai,IT Corridor,740000,1060000,6900000
Chennai,Premium,780000,1120000,7300000
Chennai,Developing,590000,840000,5500000
Pune,Central,790000,1100000,7400000
Pune,North,740000,1030000,6900000
Pune,South,750000,1050000,7000000
Pune,East,720000,1010000,6700000
Pune,West,760000,1070000,7100000
Pune,Outer,660000,920000,6200000
Pune,Suburban,690000,970000,6400000
Pune,IT Corridor,800000,1110000,7400000
Pune,Premium,840000,1180000,7800000
Pune,Developing,630000,880000,5900000
Kolkata,Central,520000,940000,5800000
Kolkata,North,490000,880000,5400000
Kolkata,South,500000,900000,5500000
Kolkata,East,480000,860000,5300000
Kolkata,West,510000,920000,5600000
Kolkata,Outer,440000,790000,4800000
Kolkata,Suburban,460000,830000,5100000
Kolkata,IT Corridor,530000,950000,5800000
Kolkata,Premium,560000,1010000,6200000
Kolkata,Developing,420000,760000,4600000
Ahmedabad,Central,630000,1000000,5800000
Ahmedabad,North,590000,930000,5400000
Ahmedabad,South,600000,950000,5500000
Ahmedabad,East,580000,910000,5300000
Ahmedabad,West,610000,970000,5600000
Ahmedabad,Outer,530000,840000,4800000
Ahmedabad,Suburban,550000,870000,5100000
Ahmedabad,IT Corridor,640000,1010000,5800000
Ahmedabad,Premium,670000,1060000,6200000
Ahmedabad,Developing,500000,800000,4600000
Jaipur,Central,580000,940000,4700000
Jaipur,North,540000,880000,4400000
Jaipur,South,550000,900000,4500000
Jaipur,East,530000,860000,4300000
Jaipur,West,560000,920000,4600000
Jaipur,Outer,480000,790000,4000000
Jaipur,Suburban,510000,830000,4100000
Jaipur,IT Corridor,580000,950000,4800000
Jaipur,Premium,620000,1010000,5000000
Jaipur,Developing,460000,760000,3800000
Lucknow,Central,520000,890000,4400000
Lucknow,North,490000,830000,4100000
Lucknow,South,500000,850000,4200000
Lucknow,East,480000,820000,4000000
Lucknow,West,510000,870000,4300000
Lucknow,Outer,440000,750000,3700000
Lucknow,Suburban,460000,780000,3900000
Lucknow,IT Corridor,530000,900000,4500000
Lucknow,Premium,560000,950000,4700000
Lucknow,Developing,420000,710000,3500000
